productid,quantity,event,messageid,userid,orderid
product-784,3,OrderEvent,2db62eb5-de95-4ce8-8161-ab7552dc2fd7,user-346,50000
product-173,1,OrderEvent,2db62eb5-de95-4ce8-8161-ab7552dc2fd7,user-346,50000
product-424,1,OrderEvent,f05643d0-29e7-47ca-a1b3-12ba3e8642e3,user-391,50001
product-393,3,OrderEvent,30d5cb63-63bb-42a2-b27a-673f3a4e7925,user-120,50002
product-369,3,OrderEvent,60c21fb3-a115-4f10-b595-6f07998de71e,user-79,50003
product-430,1,OrderEvent,4fc1330f-787a-488a-88b7-764a559642ff,user-122,50004
product-166,3,OrderEvent,8baf094c-62d5-4d8f-87c7-1faf4909bed2,user-57,50005
product-619,3,OrderEvent,6c3b19b5-ee34-4269-a0dc-73407678b8b3,user-194,50006
product-480,2,OrderEvent,9fce69f6-3c40-46c6-857c-498d2374d0a5,user-132,50007
product-6,3,OrderEvent,9a169694-c4b4-42d7-9326-fd01be24a10e,user-48,50008
product-199,2,OrderEvent,9a169694-c4b4-42d7-9326-fd01be24a10e,user-48,50008
product-123,1,OrderEvent,29ea9be8-6128-4771-a824-7f67cd808818,user-219,50009
product-59,3,OrderEvent,069d9594-7c95-4211-9924-3c52d33e34ac,user-33,50010
product-128,1,OrderEvent,069d9594-7c95-4211-9924-3c52d33e34ac,user-33,50010
product-818,2,OrderEvent,1b6a35b8-7d2b-4a9b-97b2-7a4a9b1e0ee7,user-472,50011
product-46,3,OrderEvent,da824611-556a-41e1-a4a9-227bbe8b97e2,user-159,50012
product-540,1,OrderEvent,ab5263ba-829e-4990-b045-95bd6adea90d,user-200,50013
product-72,1,OrderEvent,b3b24969-1aa7-448b-bd2b-acd338f960c5,user-30,50014
product-322,1,OrderEvent,74479612-0b9f-4b47-afdd-4264bc870f49,user-23,50015
product-407,1,OrderEvent,3a065cfa-06a8-46a9-9873-48f9c515b5b4,user-238,50016
product-505,2,OrderEvent,00a774d4-4b72-43d4-859f-a63bc36b8d1d,user-294,50017
product-488,1,OrderEvent,ad9a3c11-48cd-4742-a87d-c82f4d4ef951,user-141,50018
product-395,2,OrderEvent,82ef39e2-cc39-448f-86e6-b3b52f910913,user-190,50019
product-802,2,OrderEvent,484271ab-5867-4bf0-9d15-ed6665fc80a9,user-392,50020
product-134,1,OrderEvent,484271ab-5867-4bf0-9d15-ed6665fc80a9,user-392,50020
product-544,2,OrderEvent,e1d80b64-1936-47f5-b145-5a8611a423e3,user-4,50021
product-420,1,OrderEvent,c34784f7-9dce-4f05-bcaf-bd78a7c4fe7a,user-79,50022
product-5,1,OrderEvent,52f739b5-18b7-44c4-b393-265fb0bb6e29,user-26,50023
product-315,1,OrderEvent,be87a101-5a5a-4f32-b2e7-f1404b0f9912,user-170,50024
product-468,1,OrderEvent,be87a101-5a5a-4f32-b2e7-f1404b0f9912,user-170,50024
product-339,2,OrderEvent,61a7c6ec-03da-4d3f-874d-902a343f54d8,user-294,50025
product-5,3,OrderEvent,63b00109-d975-4417-a097-beaca51313f4,user-152,50026
product-143,1,OrderEvent,5153a8fa-fc5c-4868-804c-82d6a2cb2cca,user-7,50027
product-330,1,OrderEvent,16f2b53e-99e2-49f2-adbd-6f4f8ad17565,user-175,50028
product-102,2,OrderEvent,ad4275b3-0b64-45e8-ae32-f488e832bb8f,user-87,50029
product-282,1,OrderEvent,bd204f71-6fc5-4e6b-80ec-0bb1bc766031,user-16,50030
product-424,1,OrderEvent,bd204f71-6fc5-4e6b-80ec-0bb1bc766031,user-16,50030
product-147,3,OrderEvent,e93437cf-6237-420e-98ea-0d8408a600d8,user-100,50031
product-78,2,OrderEvent,c5951e8e-83eb-48b1-98b5-6e474a1df38d,user-53,50032
product-351,1,OrderEvent,c5951e8e-83eb-48b1-98b5-6e474a1df38d,user-53,50032
product-83,1,OrderEvent,7abdcb49-0531-48af-b10b-def2c0035d20,user-245,50033
product-102,3,OrderEvent,7ebf1f35-8604-4fe0-9dc5-65c9468382b1,user-43,50034
product-218,1,OrderEvent,78406c77-6ec3-4e9a-93ca-605a57b881d0,user-140,50035
product-4,2,OrderEvent,e20496af-868b-47e2-a008-3cc1d666a310,user-56,50036
product-126,1,OrderEvent,fb23c99f-c35f-48dc-bf38-50a0cb998a25,user-28,50037
product-292,1,OrderEvent,805d713f-79e1-43fb-a2f9-335f808d2938,user-124,50038
product-199,1,OrderEvent,4506039c-518a-40cd-a3ff-bc6d214554e7,user-279,50039
product-129,3,OrderEvent,a727fb3f-1ff0-40d3-ac50-8b3914eaee98,user-140,50040
product-365,1,OrderEvent,a727fb3f-1ff0-40d3-ac50-8b3914eaee98,user-140,50040
product-590,2,OrderEvent,a727fb3f-1ff0-40d3-ac50-8b3914eaee98,user-140,50040
product-238,2,OrderEvent,f4b6b8f0-9982-495b-b7b4-f04364f94be8,user-162,50041
